,Estimate#,Converted#,CompanyName,PriceTotal,DateCreated,DateConverted,DateLost,DateVoided
294,7642,,WEEKS MARINE INC,101.83,1/11/2019 8:06,,4/12/2019 13:19,
295,7643,174844,"Tennessee Rand, Inc.",77,1/11/2019 8:22,1/14/2019 14:23,,
296,7644,174847,"Tennessee Rand, Inc.",77,1/11/2019 8:24,1/14/2019 14:25,,
297,7645,174849,"Tennessee Rand, Inc.",77,1/11/2019 8:26,1/14/2019 14:27,,
298,7646,,David Rients,238.72,1/11/2019 8:28,,4/12/2019 13:11,
299,7647,174738,"Tennessee Rand, Inc.",77,1/11/2019 8:31,1/14/2019 12:23,,
300,7648,174742,"Tennessee Rand, Inc.",77,1/11/2019 8:34,1/14/2019 12:26,,
301,7649,174744,"Tennessee Rand, Inc.",77,1/11/2019 8:37,1/14/2019 12:28,,
302,7650,174746,"Tennessee Rand, Inc.",77,1/11/2019 8:38,1/14/2019 12:30,,
303,7651,174748,"Tennessee Rand, Inc.",77,1/11/2019 8:41,1/14/2019 12:32,,
304,7652,174751,"Tennessee Rand, Inc.",77,1/11/2019 8:42,1/14/2019 12:34,,
305,7653,174752,"Tennessee Rand, Inc.",77,1/11/2019 8:44,1/14/2019 12:36,,
306,7654,174753,"Tennessee Rand, Inc.",77,1/11/2019 8:46,1/14/2019 12:39,,
307,7655,174290,ASI Signage Innovations,643.3,1/11/2019 8:47,1/11/2019 13:27,,
308,7656,174313,Big Ink,69.64,1/11/2019 9:02,1/11/2019 13:43,,
309,7657,174211,Lubrizol,233.73,1/11/2019 10:42,1/11/2019 11:16,,
310,7658,176511,"A1A Solar Contracting, Inc.",74,1/11/2019 11:08,1/18/2019 8:16,,
311,7659,,Test,10.66,1/11/2019 11:12,,,
312,7660,174384,Delaware Township School,63.5,1/11/2019 11:22,1/11/2019 16:00,,
313,7661,176114,Myron Berman,600.7,1/11/2019 11:45,1/17/2019 10:13,,
392,7662,175746,"EOG Resources, Inc.",76.5,1/11/2019 11:52,1/16/2019 13:40,,
393,7663,174641,Signs R US,76.5,1/11/2019 12:37,1/14/2019 10:46,,
394,7664,177506,Iris Inn Bed and Breakfast,164.5,1/11/2019 12:41,1/22/2019 11:14,,
395,7665,174734,The Healing Center San Diego,123.5,1/11/2019 12:48,1/14/2019 12:19,,
396,7666,,Walmart DC 6010,298.62,1/11/2019 12:55,,1/15/2019 10:14,
397,7667,177466,Johnson Controls.,102,1/11/2019 12:55,1/22/2019 10:28,,
398,7668,174714,"E Light Electric Services, Inc.",233.31,1/11/2019 13:13,1/14/2019 11:51,,
399,7669,174327,The Art Institute of Chicago,160.5,1/11/2019 13:20,1/11/2019 14:01,,
400,7670,178966,Sewer Equipment,448,1/11/2019 13:25,1/25/2019 13:58,,
401,7671,,Smith,47,1/11/2019 13:28,,4/11/2019 14:16,
402,7672,174922,Marketshare Inc,245,1/11/2019 13:38,1/14/2019 15:33,,
403,7673,174358,Harchuck Construction,104.94,1/11/2019 13:55,1/11/2019 14:57,,
404,7674,174590,Bonnell Industries Inc,63.5,1/11/2019 14:35,1/14/2019 9:43,,
405,7675,175141,Dana Sellers,0,1/11/2019 14:45,1/15/2019 10:19,,
406,7676,174762,CS Energy,205.25,1/11/2019 15:01,1/14/2019 12:52,,
407,7677,,Springfield Technical Community College,57.5,1/11/2019 16:18,,2/14/2019 13:28,
408,7678,174796,HSC Builders & Construction Manager,172.25,1/11/2019 17:50,1/14/2019 13:37,,
409,7679,179052,Speedy Signs,125.61,1/14/2019 7:38,1/25/2019 17:00,,
410,7680,,Fastenal.,19,1/14/2019 8:18,,1/23/2019 8:34,
411,7681,174550,RichArt Graphics,0,1/14/2019 8:29,1/14/2019 8:36,,
412,7682,,Test,43.68,1/14/2019 8:30,,,1/23/2019 9:21
413,7683,174567,G&G Equipment Specialists,48.5,1/14/2019 8:50,1/14/2019 8:50,,
414,7684,176049,La Mesa-Spring Valley Schools,77.5,1/14/2019 9:53,1/17/2019 8:35,,
415,7685,175549,KSW Oilfield Rentals,4139.28,1/14/2019 10:30,1/16/2019 10:37,,
416,7686,175354,Makino,13,1/14/2019 10:58,1/15/2019 13:46,,
417,7687,174814,Bank of America-Philadelphia,108.54,1/14/2019 11:03,1/14/2019 13:52,,
418,7688,174689,Big Lots,345,1/14/2019 11:14,1/14/2019 11:33,,
497,7689,,Ceva,59.5,1/14/2019 11:22,,1/23/2019 15:22,
498,7690,176674,Manchester Tank,419.98,1/14/2019 12:10,1/18/2019 12:55,,
499,7691,177393,"CKS Packaging, Inc.",276.5,1/14/2019 12:58,1/22/2019 8:17,,
500,7692,174852,WeWork,304.99,1/14/2019 13:13,1/14/2019 14:29,,
501,7693,176023,United Protection Agency,74.01,1/14/2019 13:14,1/17/2019 7:31,,
502,7694,175260,"Mulzer Crushed Stone, Inc.",685.1,1/14/2019 13:39,1/15/2019 12:04,,
503,7695,175086,Vacation Village at Parkway,910.25,1/14/2019 13:40,1/15/2019 8:43,,
504,7696,175365,Dublin Middle School,70.5,1/14/2019 13:48,1/15/2019 14:02,,
505,7697,177982,Houston Terminal LLC,255.5,1/14/2019 14:54,1/23/2019 12:04,,
506,7698,,US Navy,672.5,1/14/2019 15:12,,2/27/2019 12:02,
507,7699,175300,"Perceptive Industries, Inc.",400.68,1/14/2019 15:16,1/15/2019 12:50,,
508,7700,175603,Ladd Thiboduax,1328.88,1/14/2019 15:47,1/16/2019 11:40,,
509,7701,178535,Datta Yoga Center,39.5,1/14/2019 16:26,1/24/2019 14:33,,
510,7702,177664,Midlands Orthopaedics & Neuro,270.5,1/15/2019 8:00,1/22/2019 14:54,,
511,7703,178973,Novozymes BioAg Limited,226,1/15/2019 8:55,1/25/2019 14:13,,
512,7704,176248,G&G Equipment Specialists,547.5,1/15/2019 9:44,1/17/2019 13:10,,
513,7705,175256,"US Aeroteam, Inc.",20.44,1/15/2019 9:58,1/15/2019 11:59,,
514,7706,175632,Greenfield Global Inc.,124,1/15/2019 10:10,1/16/2019 12:02,,
515,7707,,Dr James Brady,57.77,1/15/2019 10:16,,4/11/2019 14:17,
516,7708,175547,Vallen,348.5,1/15/2019 10:28,1/16/2019 10:32,,
517,7709,175872,Salt Lake County Parks and Recreation,90.3,1/15/2019 10:39,1/16/2019 15:24,,
518,7710,,Belzona Marine,147.5,1/15/2019 10:39,,1/25/2019 12:16,
519,7711,175283,"E Light Electric Services, Inc.",193.21,1/15/2019 10:47,1/15/2019 12:39,,
520,7712,176026,"Claddagh Construction, Inc.",314,1/15/2019 10:59,1/17/2019 7:40,,
521,7713,176768,Seekonk School Department,364.5,1/15/2019 11:10,1/18/2019 15:07,,
522,7714,,"Platinum Aerial Contractors, LLC.",4052.5,1/15/2019 11:28,,2/15/2019 8:49,
600,7715,178096,"CKS Packaging, Inc.",276.5,1/15/2019 12:25,1/23/2019 14:33,,
601,7716,175751,KR Construction,342.5,1/15/2019 12:55,1/16/2019 13:42,,
602,7717,176097,Just Bash It,345.06,1/15/2019 13:24,1/17/2019 10:03,,
603,7718,175558,Clune Construction,251,1/15/2019 13:39,1/16/2019 10:49,,
604,7719,175591,Kone Inc. - Houston,202.5,1/15/2019 13:59,1/16/2019 11:33,,
605,7720,178451,Donna Moxley,311.9,1/15/2019 14:23,1/24/2019 12:38,,
606,7721,176306,Calvin College,215.71,1/15/2019 14:31,1/17/2019 14:04,,
607,7722,200358,Clinton Striping & Sweeping LLC,421.05,1/15/2019 14:56,3/28/2019 11:17,,
608,7723,175853,G&G Equipment Specialists,59.5,1/15/2019 15:05,1/16/2019 15:03,,
609,7724,175564,New Orleans Country Club,20.89,1/15/2019 15:25,1/16/2019 10:52,,
610,7725,178570,Pennrose Management Company,1489.31,1/15/2019 15:31,1/24/2019 15:00,,
611,7726,175491,Everson Spice Company,18,1/15/2019 15:33,1/15/2019 16:49,,
612,7727,,Studio F Design,293.22,1/15/2019 15:42,,1/29/2019 12:43,
613,7728,178623,Gulfport-Biloxi International Airport,49.5,1/15/2019 16:25,1/24/2019 16:13,,
614,7729,175722,WeWork,30.28,1/15/2019 16:33,1/16/2019 13:20,,
615,7730,,"WERCO BUILDING SPECIALTIES, INC.",219.87,1/15/2019 17:26,,5/15/2019 12:44,
616,7731,183927,Les Springs,104.5,1/15/2019 18:00,2/11/2019 11:17,,
617,7732,175541,NewStream Enterprises,343,1/16/2019 7:28,1/16/2019 10:29,,
618,7733,175802,Pursuit Oil and Gas,59.5,1/16/2019 7:50,1/16/2019 14:16,,
619,7734,176687,Charleston School of Law,282.5,1/16/2019 9:06,1/18/2019 13:05,,
620,7735,175551,Milara Inc.,,1/16/2019 9:49,1/16/2019 10:40,,
621,7736,176181,Avison Young,51.5,1/16/2019 10:35,1/17/2019 11:08,,
622,7737,176179,Avison Young,138.5,1/16/2019 10:37,1/17/2019 11:07,,
623,7738,176177,Avison Young,115.5,1/16/2019 10:39,1/17/2019 11:03,,
624,7739,176178,Avison Young,75.5,1/16/2019 10:43,1/17/2019 11:05,,
625,7740,176017,Giuseppe's PIzza,47.5,1/16/2019 10:49,1/17/2019 7:04,,
703,7741,176262,Meridian Investigative Group,135.5,1/16/2019 12:03,1/17/2019 13:27,,
704,7742,177290,USNS Grasp,106.5,1/16/2019 12:08,1/21/2019 15:48,,
705,7743,175745,Garner Homes,98.5,1/16/2019 13:09,1/16/2019 13:39,,
706,7744,175934,Windsor Management Corp,20,1/16/2019 14:00,1/16/2019 16:25,,
707,7745,176342,THREE D METALS,293.03,1/16/2019 14:07,1/17/2019 14:56,,
708,7746,176296,Kibler & Kibler,31.5,1/16/2019 14:15,1/17/2019 13:47,,
709,7747,177621,FASTSIGNS of Huntsville,157.85,1/16/2019 14:25,1/22/2019 14:00,,
710,7748,178288,Health and Human Services Department,126.5,1/16/2019 14:38,1/24/2019 9:14,,
711,7749,,Alpine Edge,35.64,1/16/2019 14:39,,1/25/2019 11:01,
712,7750,,Health and Human Services Department,76.5,1/16/2019 14:43,,1/22/2019 13:38,
713,7751,182691,Royal Tire,451.06,1/16/2019 14:45,2/6/2019 14:11,,
714,7752,177418,Recreational Design and Construction,62,1/16/2019 15:45,1/22/2019 9:46,,
715,7753,176074,Manning Materials Inc.,212.5,1/17/2019 8:15,1/17/2019 9:40,,
716,7754,182699,Alabama Air National Guard,388.5,1/17/2019 8:44,2/6/2019 14:27,,
717,7755,,Lift Systems,111,1/17/2019 8:44,,2/6/2019 10:49,
718,7756,177144,"SignCrafters, Inc.",15,1/17/2019 8:50,1/21/2019 13:03,,
719,7757,176292,Speed Graphics,26.25,1/17/2019 9:00,1/17/2019 13:44,,
720,7758,179346,Sierra County Health and Human Services,212.5,1/17/2019 9:10,1/28/2019 13:09,,
721,7759,176783,WeWork,304.99,1/17/2019 10:02,1/18/2019 15:40,,
722,7760,181152,Ashland LLC,127.39,1/17/2019 10:05,2/1/2019 11:12,,
723,7761,176161,Premier Builder,201.5,1/17/2019 10:20,1/17/2019 10:47,,
